"%s Item(s)","%s produkt(ów)"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2012 Sklep Demonstracyjny Magento. Wszelkie prawa zastrzeżone."
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Sklep Demonstracyjny Magento. Wszelkie prawa zastrzeżone."
"(Shift-)Click or drag to change value","kliknij trzymając Shift lub przeciągnij aby zmienić wartość"
"(ver. %s)","(wer. %s)"
"- Click on any of the time parts to increase it","- Kliknij na dowolnej części kontrolki aby ją zwiększyć"
"- Hold mouse button on any of the above buttons for faster selection.","- Przytrzymaj przycisk myszy na powyższych przyciskach aby szybciej wybrać"
"- Use the %s buttons to select month","- Użyj przycisków %s aby wybrać miesiąc"
"- Use the %s, %s buttons to select year","- Użyj przycisków %s aby wybrać rok"
"- or Shift-click to decrease it","- lub kliknij trzymając Shift aby zmniejszyć"
"- or click and drag for faster selection.","- lub naciśnij i przeciągnij aby wybrać szybciej"
"-- Please Select --","-- Proszę wybrać --"
"1 column","1 kolumna"
"2 columns with left bar","2 kolumny z lewym paskiem"
"2 columns with right bar","2 kolumny z prawym paskiem"
"3 columns","3 kolumny"
"About the calendar","O kalendarzu"
"All Empty Layout Pages","Wszystkie strony z pustym układem"
"All One-Column Layout Pages","Wszystkie strony z układem jednokolumnowym"
"All Pages","Wszystkie strony"
"All Pages (Print Version)","Wszystkie strony (wersja do druku)"
"All Three-Column Layout Pages","Wszystkie strony z układem trzykolumnowym"
"All Two-Column Layout Pages (Left Column)","Wszystkie strony z układem dwukolumnowym (lewa kolumna)"
"All Two-Column Layout Pages (Right Column)","Wszystkie strony z układem dwukolumnowym (prawa kolumna)"
"Allow","Zezwól"
"Breadcrumbs","Okruszki"
"Click <a href=""%s"">here</a> if nothing has happened","Kliknij <a href=""%s"">tutaj</a> jeśli nic się nie wydarzyło"
"Close","Zamknij"
"Close Window","Zamknij okno"
"DHTML Date/Time Selector","Dynamiczny selektor daty/czasu"
"Date selection:","Wybór daty:"
"Default Description","Domyślny opis"
"Default welcome msg!","Domyślna wiadomość powitalna!"
"Display %s first","Wyświetl %s jako pierwszy"
"Distributed under GNU LGPL. See %s for details.","Rozpowszechniane na warunkach licencji GNU LGPL. Zobacz %s, aby dowiedzieć się więcej."
"Drag to move","Przeciągnij, aby przesunąć"
"Empty","Pusty"
"For latest version visit: %s","Aby uzyskać najnowszą wersję odwiedź: %s"
"Free Shipping on orders over 50$","Darmowa dostawa dla zamówień powyżej $50"
"Go Today","Idź do dzisiaj"
"Help Us to Keep Magento Healthy","Pomóż nam utrzymać Magento w dobrej kondycji"
"Interface Language","Język interfejsu"
"Items %s to %s of %s total","Produkty %s do %s z %s"
"JavaScript seems to be disabled in your browser.","Wygląda na to, że JavaScript jest wyłączony w twojej przeglądarce."
"Left Column","Lewa kolumna"
"Main Content Area","Obszar głownej treści"
"Navigation Bar","Pasek nawigacyjny"
"Next","Następne"
"Next month (hold for menu)","Następny miesiąc (przytrzymaj dla menu)"
"Next year (hold for menu)","Następny rok (przytrzymaj dla menu)"
"Page Bottom","Dół strony"
"Page Footer","Stopka strony"
"Page Header","Nagłowek strony"
"Page Top","Góra strony"
"Page:","Strona:"
"Prev. month (hold for menu)","Poprzedni miesiąc (przytrzymaj dla menu)"
"Prev. year (hold for menu)","Poprzedni rok (przytrzymaj dla menu)"
"Previous","Poprzedni"
"Redirecting...","Przekierowywanie..."
"Report All Bugs","Zgłaszaj wszystkie błędy"
"Right Column","Prawa kolumna"
"Select Store","Wybierz sklep"
"Select Store:","Wybierz sklep"
"Select date","Wybierz datę"
"Show","Pokaż"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","To jest wersja demonstracyjna. Żadne zamówienia nie będą realizowane."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Ta strona wymaga cookies do prawidłowego funkcjonowania. W celu uzyskania dokładniejszych informacji o danych przechowywanych w cookies, proszę przejrzeć naszą <a href=""%s"">Politykę prywatności</a>. W celu akceptacji cookies, prosmy kliknać przycisk Zezwalam poniżej."
"Time selection:","Wybór czasu:"
"Time:","Czas:"
"Welcome, %s!","Witaj, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Musisz mieć uruchomioną obsługę JavaScript w przeglądarce, żeby korzystać z tej witryny."
"Your Language","Twój język"
"Your Language:","Twój język:"
"per page","na stronę"
