"* Select shipping method","* wybierz metodę dostawy"
"2Day","2Day"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"3 Day Select","3 Day Select"
"<br />Warning: <strong>%s</strong><br />","<br />Ostrzeżenie: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Ostrzeżenie!</strong> Ta opcja wyłączy wszystkie kalkulacje dostawy handlowca. Z tą opcją, API Google ignoruje wszystkie próby zmainy cen dostawy."
"A virtual item to reflect the discount total","Przedmiot wirtualny odzwierciedlający łączną zniżkę"
"A virtual item to reflect the tax total","Przedmiot wirtualny odzwierciedlający łączny podatek"
"AVS Status: %s","Status AVS: %s"
"Add Shipping Method","Dodaj metodę dostawy"
"Allowed Methods","Dozwolone metody"
"Amount: %s","Kwota: %s"
"Auto-generated from GoogleCheckout Charge","Opłaty wygenerowane przez Google Checkout"
"Buyer Account Age: %s days","Wiek konta kupca: %s dni"
"CC Partial: xxxx-%s","Częściowy numer karty kredytowej: xxxx-%s"
"CID Status: %s","Status CID: %s"
"Carrier Calculated Methods","Metody wyliczenia dostawy"
"Cart Discount","Zniżka koszyka"
"Checkout Image Style","Styl obrazka zamówienia"
"Commercial","Komercyjna"
"Continue Shopping URL","URL kontynuowania zakupów"
"Credit memo has been created automatically","Faktura korygująca została utworzona automatycznie"
"Debug","Debuguj"
"Default Package Height (in)","Domyślna wysokość paczki (cale)"
"Default Package Length (in)","Domyślna długość paczki (cale)"
"Default Package Width (in)","Domyślna szerokość paczki (cale)"
"Default Price for Methods","Domyślna cena dla metod"
"Default price:","Domyślna cena:"
"Delivery Address Category","Kategoria adresu dostawy"
"Delivery Schedule","Plan dostawy"
"Description-based delivery","Dostawa oparta na opisie"
"Disable Default Tax Tables","Wyłącz domyślne tabele podatków"
"Discount Tax","Podatek zniżki"
"Eligible for Protection: %s","Kwalifikowalny do ochrony: %s"
"Email delivery","Dostawa e-mail"
"Enable","Włącz"
"Enable Carrier Calculated","Odblokuj wyliczenie dostawy"
"Enable Digital Delivery","Odblokuj dostawę elektroniczną"
"Enable Flat Rate","Odblokuj płaską stawkę"
"Enable Merchant Calculated","Odblokuj wyliczenie handlowca"
"Enable this if your checkout request is too big and being cut off.","Odblokuj to jeśli twoje żądanie jest zbyt duże i połączenie zostaje zrywane."
"Expiration: %s","Wygasa: %s"
"Express Mail","Express Mail"
"Express Saver","Express Saver"
"FedEx","FedEx"
"Financial: %s -> %s","Finansowo: %s -> %s"
"First Overnight","First Overnight"
"Free Shipping","Darmowa dostawa"
"Fulfillment: %s -> %s","Realizacja: %s -> %s"
"Google API","API Google"
"Google Authorization:","Autoryzacja Google:"
"Google Buyer ID: %s","Google ID kupca: %s"
"Google Charge:","Opłata Google:"
"Google Chargeback:","Zwrot Google:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Shipping - Obliczone przez dostawcę"
"Google Checkout Shipping - Digital Delivery","Dostawa Google Checkout – Dostawa elektroniczna"
"Google Checkout Shipping - Flat Rate","Dostawa Google Checkout - Płaska stawka"
"Google Checkout Shipping - Merchant Calculated","Dostawa Google Checkout - Obliczone przez sprzedawcę"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Numer zamówienia Google: %s"
"Google Order Status Change:","Zamiana statusu zamówienia Google:"
"Google Refund:","Zwrot Google:"
"Google Risk Information:","Informacja o ryzyku (Google):"
"GoogleCheckout is not configured","Google Checkout nie jest skonfigurowany"
"Ground","Naziemny"
"Hide Cart Contents","Ukryj zawartość koszyka"
"Home Delivery","Dostawa do domu"
"IP Address: %s","Adres IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Jeśli włączone, zawartość koszyka będzie ukryta po kliknięciu na przycisk Google Checkout w koszyku i przywrócona po kliknięciu w edycję koszyka."
"Inches","Cale"
"Invoice Auto-Created: %s","Autogenerowana faktura: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Czy klient chce otrzymywać e-maile marketingowe: %s"
"Key/URL delivery","Dostawa klucz/URL"
"Large - %s","Duży - %s"
"Latest Charge: %s","Ostatnio pobrano: %s"
"Latest Chargeback: %s","Ostani zwrot: %s"
"Latest Refund: %s","Ostatnio zrefundowano: %s"
"Location","Lokalizacja"
"Media Mail","Media Mail"
"Medium - %s","Średni - %s"
"Merchant ID","ID sprzedawcy"
"Merchant Key","Klucz sprzedawcy"
"Method","Metoda"
"New Order Status","Status nowego zamówienia"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Saver","Next Day Air Saver"
"No","Nie"
"No Comment","Brak komentarza"
"No Reason","Brak powodu"
"Optimistic","Optymistycznie"
"Optional, leave empty for home page.","Opcjonalne, pozostaw puste dla strony głównej."
"Order creation error","Błąd składania zamówienia."
"Parcel Post","Paczka pocztowa"
"Pessimistic","Pesymistycznie"
"Priority Mail","Poczta priorytetowa"
"Priority Overnight","Priorytet na drugi dzień"
"Rate 1 Amount","Stawka 1 kwota"
"Rate 1 Ship To Applicable Countries","Stawka 1 wyślij do dopuszczonych krajów"
"Rate 1 Ship to Specific Countries","Stawka 1 wyślij do określonych krajów"
"Rate 1 Title","Stawka 1 tytuł"
"Rate 2 Amount","Stawka 2 kwota"
"Rate 2 Ship To Applicable Countries","Stawka 2 wyślij do dopuszczonych krajów"
"Rate 2 Ship to Specific Countries","Stawka 2 wyślij do określonych krajów"
"Rate 2 Title","Stawka 2 tytuł"
"Rate 3 Amount","Stawka 3 kwota"
"Rate 3 Ship To Applicable Countries","Stawka 3 wyślij do dopuszczonych krajów"
"Rate 3 Ship to Specific Countries","Stawka 3 wyślij do określonych krajów"
"Rate 3 Title","Stawka 3 tytuł"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Wymagane dla transakcji Google Checkout w produkcji. Upewnij się, że ta opcja odpowiada wykorzystaniu Bezpiecznych URL (""Sieć"" > ""Bezpieczeństwo"")"
"Residential","Rezydencyjny"
"Sandbox","Środowisko testowe"
"Secure Callback URL","Zabezpieczony URL zwrotny"
"Small - %s","Mały - %s"
"Standard Overnight","Standard na drugi dzień"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Ilość podatku został zastosowana na podstawie informacji otrzymanych z Google Checkout, ponieważ ilość podatku otrzymanego z Google Checkout jest inna niż ta z obliczeń podatku"
"Title","Tytuł"
"Total Chargeback: %s","Łączny zwrot: %s"
"Total Charged: %s","Razem: %s"
"Total Refunded: %s","Suma do zwrotu: %s"
"Transparent","Przeźroczysty"
"UPS","UPS"
"USPS","USPS"
"United Kingdom","Wielka Brytania"
"United States","Stany Zjednoczone"
"Unknown Reason","Nieznany powód"
"White Background","Białe tło"
"Yes","Tak"
"You will be redirected to GoogleCheckout in a few seconds.","W ciągu kilku sekund zostaniesz przeniesiony na strony Google Checkout."
