"Add","Dodaj"
"Add gift message for shopping cart","Dodaj wiadomość prezentową do koszyka"
"Add gift messages for quote item of shopping cart","Dodaj wiadomość prezentową do produktu w koszyku"
"Add gift messages to products of shopping cart","Dodaj wiadomość prezentową do produktów w koszyku"
"Add gift options","Dodaj opcje prezentowe"
"Add gift options for Individual Items","Dodaj opcje prezentowe dla pojedyńczych produktów"
"Add gift options for the Entire Order","Dodaj opcje prezentowe dla całego zamówienia."
"Add gift options.","Dodaj opcje prezentowe"
"Allow Gift Messages for Order Items","Zezwól na wiadomość prezentową dla produktów zamówienia"
"Allow Gift Messages on Order Level","Zezwól na wiadomość prezentową na poziomie zamówienia"
"An error occurred while saving the gift message.","Wystąpił błąd podczas zapisywania wiadomości prezentowej."
"Are you sure?","Czy na pewno tego chcesz?"
"Cancel","Anuluj"
"Do you have any gift items in your order?","Czy twoje zamówienie zawiera prezenty?"
"Edit","Edytuj"
"From","Od"
"Gift Message","Wiadomość prezentowa"
"Gift Message API","API wiadomości prezentowych"
"Gift Options","Opcje prezentowe"
"Gift Options for","Opcje prezentowe dla"
"Gift Options for Individual Items","Opcje prezentowe dla pojedyńczych produktów"
"Gift Options for the Entire Order.","Opcje prezentowe dla całego zamówienia."
"Gift Options for this address.","Opcje prezentowe dla tego adresu."
"Item %d of %d","Produkt %d z %d"
"Message","Wiadomość"
"No","Nie"
"OK","OK"
"Save Gift Message","Zapisz wiadomość prezentową"
"The gift message has been removed","Wiadomość prezentowa została usunięta"
"The gift message has been saved","Wiadomość prezentowa została zapisana"
"The gift message has been saved.","Wiadomość prezentowa została zapisana."
"To","Do"
"Unknown entity type","Nieznany typ jednostki"
"Use config","Użyj konfiguracji"
"Yes","Tak"
"You can leave this box blank if you do not wish to add a gift message for the item.","Możesz pozostawić puste pole jeśli nie chcesz dodać wiadomości prezentowej dla tego produktu."
"You can leave this box blank if you do not wish to add a gift message for this address.","Możesz pozostawić puste pole jeśli nie chcesz dodać wiadomości prezentowej dla tego adresu."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Możesz pozostawić puste pole jeśli nie chcesz dodać wiadomości prezentowej dla tego zamówienia."
