"%1$s has been updated in your wishlist.","%1$s został zaktualizowany w schowku"
"%d product(s) have been added to shopping cart: %s.","%d produkt(y) został dodany do koszyka: %s."
"%s for ""%s"".","%s dla ""%s""."
"%s has been moved to wishlist %s","%s został przeniesiony do schowka %s"
"%s's Wishlist","Schowek %s"
"* Required Fields","* wymagane pola"
"Add All to Cart","Dodaj wszystko do koszyka"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj do schowka"
"Added From","Dodano z"
"An error occurred while adding item to wishlist.","Wystąpił błąd podczas dodawania produktu do schowka."
"An error occurred while adding item to wishlist: %s","Wystąpił błąd podczas dodawania produktu do schowka: %s."
"An error occurred while deleting the item from wishlist.","Wystąpił błąd podczas usuwania produktu z schowka."
"An error occurred while deleting the item from wishlist: %s","Wystąpił błąd podczas usuwania produktu z schowka: %s."
"An error occurred while updating wishlist.","Wystąpił błąd podczas aktualizowania schowka."
"Are you sure you want to remove this product from your wishlist?","Czy na pewno chcesz usunąć wszystkie przedmioty ze schowka?"
"Are you sure you would like to remove this item from the wishlist?","Czy na pewno chcesz usunąć ten produkt ze schowka?"
"Back","Powrót"
"Can\'t delete item from wishlist","Nie można usunąć produktu ze schowka."
"Can\'t save description %s","Nie można zapisać opisu %s"
"Can\'t update wishlist","Nie można zaktualizować schowka."
"Cannot add item to shopping cart","Nie można dodać produktu do koszyka"
"Cannot add the following product(s) to shopping cart: %s.","Nie można dodać następujących produktów do koszyka: %s."
"Cannot add the item to shopping cart.","Nie można dodać produktu do koszyka."
"Cannot configure product","Nie można skonfigurować produktu"
"Cannot load wishlist item","Nie można załadować produktu ze schowka"
"Cannot move item to wishlist","Nie można przenieść do schowka"
"Cannot specify product.","Nie można ustalić produktu."
"Cannot specify wishlist item.","Nie można sprecyzować produktu ze schowka."
"Cannot specify wishlist.","Nie można sprecyzować schowka."
"Cannot update wishlist","Nie można zaktualizować schowka"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Zaznacz to pole jeśli chcesz dodać link do wątku RSS do twojego schowka."
"Click for price","Kliknij po cenę"
"Comment","Komentarz"
"Comment:","Komentarz:"
"Configure Wishlist Item","Konfiguruj element schowka"
"Configured Price:","Cena z konfiguracji:"
"Could not find such wishlist","Nie można znaleźć takiego schowka"
"Could not find wishlist","Nie można znaleźć schowka"
"Customer My Account My Wishlist","Konto klienta - mój schowek"
"Customer My Account Wishlist Sharing Form","Moje konto - formularz współdzielenia schowka"
"Customer Shared Wishlist View","Widok współdzielonej schowka klienta"
"Date Added","Data dodania"
"Days in Wishlist","Dni w schowku"
"Display Wishlist Summary","Wyświetl podsumowanie schowka"
"Edit","Edytuj"
"Email Sender","Nadawca"
"Email Template","Szablon e-mail"
"Email address can\'t be empty.","Pole e-mail nie może być puste."
"Email addresses, separated by commas","Adresy e-mail rozdzielane przecinkami"
"Enabled","Włączone"
"General Options","Opcje ogólne"
"Go to Wishlist","Przejdź do schowka"
"Helper for wishlist options rendering doesn't implement required interface.","Helper dla renderowania opcji schowka nie ma odpowiedniego interfejsu."
"In stock","W magazynie"
"Last Added Items","Ostatnio dodane produkty"
"Message","Wiadomość"
"My Wishlist","Mój schowek"
"My Wishlist (%d item)","Schowek (%d produkt)"
"My Wishlist (%d items)","Schowek (%d produktów)"
"My Wishlist <small>(%d)</small>","Mój schowek <small>(%d)</small>"
"My Wishlist Link","Link do mojego schowka"
"Options Details","Szczegóły opcji"
"Out of stock","Brak w magazynie"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Wpisz prawidłowe adresy e-mail w formacie jan.kowalski@domena.pl, oddzielając je przecinkami."
"Please input a valid email address.","Proszę wpisać poprawny adres e-mail."
"Please, enter your comments...","Wpisz swój komentarz..."
"Product","Produkt"
"Product Details and Comment","Szczegóły i komentarze produktu"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produkt(y) %s posiada wymagane opcje. Każda z nich może być dodana do koszyka tylko oddzielnie."
"Product(s) %s have required options. Each product can only be added individually.","Produkt(y) %s posiada wymagane opcje. Każda z nich może być dodana tylko oddzielnie."
"RSS Feed","Kanał RSS"
"RSS link to %s's wishlist","Link RSS do schowka %s"
"Remove Item","Usuń produkt"
"Remove This Item","Usuń ten produkt"
"Remove item","Usuń element"
"Requested cart item doesn't exist","Żądany produkt koszyka nie istnieje"
"Requested wishlist doesn't exist","Żądany schowek nie istnieje"
"Share Options","Opcje współdzielenia"
"Share Wishlist","Podziel się schowkiem"
"Share Your Wishlist","Podziel się swoim schowkiem"
"Sharing Information","Współdzielone informacja"
"This Wishlist has no Items","Ten schowek nie zawiera żadnych produktów"
"This product(s) is currently out of stock","Ten produkt jest obecnie niedostępny:"
"Unable to add the following product(s) to shopping cart: %s.","Nie można dodać następujących produktów do koszyk: %s.."
"Update Wishlist","Aktualizuj schowek"
"User Description","Opis użytkownika"
"View Details","Zobacz szczegóły"
"View Product","Zobacz produkt"
"What's this?","Co to jest?"
"Wishlist","Schowek"
"Wishlist Section","Sekcja schowka"
"Wishlist Sharing","Podziel się swoim schowkiem"
"Wishlist could not be created.","Schowek nie może zostać utworzony."
"Wishlist is empty now.","Schowek jest pusty."
"You have no items in your wishlist.","Nie masz żadnych produktów w schowku."
"Your Wishlist has been shared.","Twój schowek został udostępniony."
