"Add Recipient","Dodaj odbiorcę"
"Allow for Guests","Wysyłanie maili przez Gości"
"An invalid email address for recipient was entered.","Wprowadzono niepoprawny adres dla odbiorcy"
"At least one recipient must be specified.","Co najmniej jeden odbiorca musi być ustawiony."
"Back","Powrót"
"Catalog Product Email to a Friend","Wyślij produkt do znajomego"
"Email Address","Adres e-mail"
"Email Address:","Adres e-mail:"
"Email Templates","Szablony e-mail"
"Email to a Friend","Wyślij znajomemu"
"Email:","E-mail:"
"Enabled","Włączone"
"Invalid Sender Information","Nieprawidłowa informacja nadawcy"
"Invalid sender email.","Nieprawidłowy e-mail nadawcy."
"Limit Sending By","Ogranicz wysyłanie o"
"Max Products Sent in 1 Hour","Wysłana maksymalna ilość produktów w 1 godzinie"
"Max Recipients","Maksymalna ilość odbiorców"
"Maximum %d email addresses allowed.","Dopuszczalne maksymalnie %d adresów e-mail."
"Message:","Wiadomość:"
"Name","Nazwa"
"Name:","Imię:"
"No more than %d emails can be sent at a time.","Nie można wysyłać więcej niż %d wiadomości na raz."
"Please define a correct Cookie instance.","Proszę zdefiniować poprawną instancję cookie."
"Please define a correct Product instance.","Proszę zdefiniować poprawną instancję produktu."
"Please define the correct Sender information.","Proszę zdefiniować poprawną informację nadawcy."
"Recipient:","Odbiorca:"
"Remove Email","Usuń e-mail"
"Select Email Template","Wybierz szablon e-mail"
"Send Email","Wyślij e-mail"
"Send product to a friend","Wyślij produkt do znajomego"
"Sender:","Nadawca:"
"Some emails were not sent.","Niektóre e-maile nie zostały wysłane."
"The link to a friend was sent.","Link został wysłany do znajomego."
"The message cannot be empty.","Wiadomość nie może by pusta."
"The messages cannot be sent more than %d times in an hour","Wiadomości nie mogą być wysyłane częściej niż %d razy w ciągu godziny"
"The sender name cannot be empty.","Nazwa nadawcy nie może by pusta."
"There were some problems with the data.","Wysąpiły pewne problemy z danymi."
"You have exceeded limit of %d sends in an hour","Limit wysyłania %d na godziną został przekroczony"
