"All Websites","Wszystkie witryny"
"Apply Discounts To FPT","Zastosuj zniżkę do FPT"
"Apply Tax To FPT","Zastosuj podatek dla FPT"
"Display Prices In Emails","Wyświetlaj ceny w wiadomościach e-mail"
"Display Prices In Product Lists","Wyświetlaj ceny na listach produktów"
"Display Prices In Sales Modules","Wyświetlaj ceny w modułach sprzedaży"
"Display Prices On Product View Page","Wyświetlaj ceny na karcie produktu"
"Enable FPT","Włącz FPT"
"Excluding FPT","Wyłączając FPT"
"Excluding FPT, FPT description, final price","Wyłączając FPT, opis FPT, cena ostateczna"
"FPT Tax Configuration","Konfiguracja podatku FPT"
"Fixed Product Tax","Ustalony podatek produktu"
"Fixed Product Taxes","Ustalone podatki produktu"
"Include FPT In Subtotal","Zawrzyj FPT w podsumie"
"Including FPT and FPT description","Włączając FPT i opis FPT"
"Including FPT and FPT description [incl. FPT VAT]","Wliczając FPT i opis FPT [z FPT VAT]"
"Including FPT only","Wliczając tylko FPT"
"Loaded and Displayed with Tax","Załadowane i wyświetlane z podatkiem"
"Not Taxed","Nieopodatkowane"
"Taxed","Opodatkowane"
"Total","Razem"
"Total Incl. Tax","Razem z podatkiem"
"Total excl. tax","Razem bez podatku"
"Total incl. tax","Razem z podatkiem"
"Total:","Razem:"
