"Alert Email Sender","Nadawca powiadomienia"
"Alert subscription has been saved.","Subskrypcja alertu została zapisana."
"Allow Alert When Product Comes Back in Stock","Zazwól na powiadomienia o powrocie produktu do stany magazynowego"
"Allow Alert When Product Price Changes","Zazwól na powiadomienia o zmienach ceny produktu"
"Click here not to receive alerts for this product","Kliknij tutaj, aby nie otrzymywać powiadomień o tym produkcie"
"Error Email Recipient","Błąd e-mail: nieprawidłowy odbiorca"
"Error Email Sender","Błąd e-mail: nieprawidłowy nadawca"
"Error Email Template","Błąd w szablonie e-mail"
"Frequency","Częstotliwość"
"Not enough parameters.","Niewystarczająca ilość parametrów"
"Price Alert Email Template","Szablon powiadomień o cenie towaru"
"Price:","Cena:"
"Product Alerts","Alerty produktów"
"Product Alerts Run Settings","Ustawienia wysyłania powiadomień"
"Product alerts Cron error","Błąd zadania Cron powiadomień o produktach"
"Product price alert","Powiadomienie o cenie produktu"
"Product stock alert","Powiadomienie o dostępności produktu"
"Regular Price:","Normalna cena:"
"Sign up for price alert","Zapisz się, aby otrzymywać powiadomienia o cenie"
"Sign up to get notified when this product is back in stock","Zapisz się, aby otrzymywać powiadomienia o pojawieniu się produktu na magazynie"
"Special price:","Cena promocyjna:"
"Start Time","Czas rozpoczęcia"
"Stock Alert Email Template","Szablon powiadomień o dostępności towaru"
"The alert subscription has been deleted.","Subskrypcja alertu została usunięta."
"The alert subscription has been saved.","Subskrypcja alertu została zapisana."
"The product is not found.","Produkt nie został znaleziony."
"The product was not found.","Produkt nie został znaleziony."
"Unable to update the alert subscription.","Nie udało się zaktualizować subskrypcji alertu."
"Unsubscribe from all price alerts","Anuluj subskrypcje wszystkich powiadomień o cenach"
"Unsubscribe from all stock alerts","Anuluj subskrypcje wszystkich powiadomień o dostępności towaru"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Otrzymujesz to powiadomienie, ponieważ subskrybujesz otrzymywanie informacji o ponownym pojawieniu się na magazynie następujących produktów:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Otrzymujesz to powiadomienie, ponieważ subskrybujesz otrzymywanie informacji o zmianach ceny następujących produktów:"
"You will no longer receive price alerts for this product.","Nie otrzymasz już więcej powiadomień o cenie tego produktu"
"You will no longer receive stock alerts for this product.","Nie otrzymasz już więcej powiadomień o cenie tego produktu"
"You will no longer receive stock alerts.","Nie otrzymasz już więcej powiadomień o dostępności"
